Conversation_ID,Domain,Turn,Speaker,Sentence,Sentiment,Intent,Rule_Category,Specific_Rule,Violation,Risk_Level
C124,Credit Reporting,1,Agent,"For your information, Investigating dispute within 30 days.",Neutral,Statement,FCRA,Investigating dispute within 30 days,No,Low
C124,Credit Reporting,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C125,Credit Reporting,1,Agent,I need to inform you that Correcting inaccurate credit report.,Helpful,Statement,FCRA,Correcting inaccurate credit report,No,Low
C125,Credit Reporting,2,Customer,Thank you for clarifying.,Concerned,Response,None,None,No,Low
C126,Credit Reporting,1,Agent,I want to explain that Reporting incorrect credit information.,Helpful,Statement,FCRA,Reporting incorrect credit information,Yes,High
C126,Credit Reporting,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C127,Credit Reporting,1,Agent,I want to explain that Failure to investigate credit dispute.,Helpful,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C127,Credit Reporting,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C128,Credit Reporting,1,Agent,I want to explain that Reporting incorrect credit information.,Helpful,Statement,FCRA,Reporting incorrect credit information,Yes,High
C128,Credit Reporting,2,Customer,That doesn't seem right.,Concerned,Response,None,None,No,Low
C129,Credit Reporting,1,Agent,I need to inform you that Investigating dispute within 30 days.,Helpful,Statement,FCRA,Investigating dispute within 30 days,No,Low
C129,Credit Reporting,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C130,Credit Reporting,1,Agent,Our records indicate that Investigating dispute within 30 days.,Helpful,Statement,FCRA,Investigating dispute within 30 days,No,Low
C130,Credit Reporting,2,Customer,That doesn't seem right.,Concerned,Response,None,None,No,Low
C131,Credit Reporting,1,Agent,Please note that Correcting inaccurate credit report.,Threatening,Statement,FCRA,Correcting inaccurate credit report,No,Low
C131,Credit Reporting,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C132,Credit Reporting,1,Agent,I need to inform you that Investigating dispute within 30 days.,Neutral,Statement,FCRA,Investigating dispute within 30 days,No,Low
C132,Credit Reporting,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C133,Credit Reporting,1,Agent,I need to inform you that Failure to investigate credit dispute.,Threatening,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C133,Credit Reporting,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C134,Credit Reporting,1,Agent,I want to explain that Investigating dispute within 30 days.,Helpful,Statement,FCRA,Investigating dispute within 30 days,No,Low
C134,Credit Reporting,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C135,Credit Reporting,1,Agent,Please note that Reporting incorrect credit information.,Threatening,Statement,FCRA,Reporting incorrect credit information,Yes,High
C135,Credit Reporting,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C136,Credit Reporting,1,Agent,Our records indicate that Investigating dispute within 30 days.,Helpful,Statement,FCRA,Investigating dispute within 30 days,No,Low
C136,Credit Reporting,2,Customer,Thank you for clarifying.,Concerned,Response,None,None,No,Low
C137,Credit Reporting,1,Agent,"For your information, Investigating dispute within 30 days.",Threatening,Statement,FCRA,Investigating dispute within 30 days,No,Low
C137,Credit Reporting,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C138,Credit Reporting,1,Agent,I want to explain that Failure to investigate credit dispute.,Serious,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C138,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C139,Credit Reporting,1,Agent,Please note that Investigating dispute within 30 days.,Neutral,Statement,FCRA,Investigating dispute within 30 days,No,Low
C139,Credit Reporting,2,Customer,That doesn't seem right.,Concerned,Response,None,None,No,Low
C140,Credit Reporting,1,Agent,"For your information, Failure to investigate credit dispute.",Serious,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C140,Credit Reporting,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C141,Credit Reporting,1,Agent,Our records indicate that Investigating dispute within 30 days.,Neutral,Statement,FCRA,Investigating dispute within 30 days,No,Low
C141,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C142,Credit Reporting,1,Agent,Please note that Reporting incorrect credit information.,Helpful,Statement,FCRA,Reporting incorrect credit information,Yes,High
C142,Credit Reporting,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C143,Credit Reporting,1,Agent,I want to explain that Correcting inaccurate credit report.,Serious,Statement,FCRA,Correcting inaccurate credit report,No,Low
C143,Credit Reporting,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C144,Credit Reporting,1,Agent,Our records indicate that Failure to investigate credit dispute.,Neutral,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C144,Credit Reporting,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C145,Credit Reporting,1,Agent,I need to inform you that Failure to investigate credit dispute.,Neutral,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C145,Credit Reporting,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C146,Credit Reporting,1,Agent,"For your information, Failure to investigate credit dispute.",Neutral,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C146,Credit Reporting,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C147,Credit Reporting,1,Agent,"For your information, Reporting incorrect credit information.",Threatening,Statement,FCRA,Reporting incorrect credit information,Yes,High
C147,Credit Reporting,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C148,Credit Reporting,1,Agent,"For your information, Investigating dispute within 30 days.",Neutral,Statement,FCRA,Investigating dispute within 30 days,No,Low
C148,Credit Reporting,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C149,Credit Reporting,1,Agent,Our records indicate that Failure to investigate credit dispute.,Threatening,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C149,Credit Reporting,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C150,Credit Reporting,1,Agent,I want to explain that Investigating dispute within 30 days.,Threatening,Statement,FCRA,Investigating dispute within 30 days,No,Low
C150,Credit Reporting,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C151,Credit Reporting,1,Agent,I need to inform you that Failure to investigate credit dispute.,Helpful,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C151,Credit Reporting,2,Customer,Thank you for clarifying.,Neutral,Response,None,None,No,Low
C152,Credit Reporting,1,Agent,I need to inform you that Failure to investigate credit dispute.,Neutral,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C152,Credit Reporting,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C153,Credit Reporting,1,Agent,Please note that Reporting incorrect credit information.,Neutral,Statement,FCRA,Reporting incorrect credit information,Yes,High
C153,Credit Reporting,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C154,Credit Reporting,1,Agent,I want to explain that Investigating dispute within 30 days.,Helpful,Statement,FCRA,Investigating dispute within 30 days,No,Low
C154,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C155,Credit Reporting,1,Agent,"For your information, Correcting inaccurate credit report.",Serious,Statement,FCRA,Correcting inaccurate credit report,No,Low
C155,Credit Reporting,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C156,Credit Reporting,1,Agent,Our records indicate that Failure to investigate credit dispute.,Serious,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C156,Credit Reporting,2,Customer,I would like documentation for that.,Confused,Response,None,None,No,Low
C157,Credit Reporting,1,Agent,"For your information, Reporting incorrect credit information.",Helpful,Statement,FCRA,Reporting incorrect credit information,Yes,High
C157,Credit Reporting,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C158,Credit Reporting,1,Agent,"For your information, Correcting inaccurate credit report.",Helpful,Statement,FCRA,Correcting inaccurate credit report,No,Low
C158,Credit Reporting,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C159,Credit Reporting,1,Agent,Our records indicate that Failure to investigate credit dispute.,Serious,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C159,Credit Reporting,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C160,Credit Reporting,1,Agent,"For your information, Investigating dispute within 30 days.",Helpful,Statement,FCRA,Investigating dispute within 30 days,No,Low
C160,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C161,Credit Reporting,1,Agent,I need to inform you that Correcting inaccurate credit report.,Serious,Statement,FCRA,Correcting inaccurate credit report,No,Low
C161,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C162,Credit Reporting,1,Agent,"For your information, Investigating dispute within 30 days.",Helpful,Statement,FCRA,Investigating dispute within 30 days,No,Low
C162,Credit Reporting,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C163,Credit Reporting,1,Agent,I need to inform you that Failure to investigate credit dispute.,Threatening,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C163,Credit Reporting,2,Customer,I would like documentation for that.,Confused,Response,None,None,No,Low
C164,Credit Reporting,1,Agent,I want to explain that Correcting inaccurate credit report.,Helpful,Statement,FCRA,Correcting inaccurate credit report,No,Low
C164,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C165,Credit Reporting,1,Agent,Please note that Investigating dispute within 30 days.,Neutral,Statement,FCRA,Investigating dispute within 30 days,No,Low
C165,Credit Reporting,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C166,Credit Reporting,1,Agent,"For your information, Correcting inaccurate credit report.",Helpful,Statement,FCRA,Correcting inaccurate credit report,No,Low
C166,Credit Reporting,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C167,Credit Reporting,1,Agent,Our records indicate that Failure to investigate credit dispute.,Threatening,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C167,Credit Reporting,2,Customer,Thank you for clarifying.,Neutral,Response,None,None,No,Low
C168,Credit Reporting,1,Agent,I want to explain that Reporting incorrect credit information.,Helpful,Statement,FCRA,Reporting incorrect credit information,Yes,High
C168,Credit Reporting,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C169,Credit Reporting,1,Agent,Our records indicate that Investigating dispute within 30 days.,Threatening,Statement,FCRA,Investigating dispute within 30 days,No,Low
C169,Credit Reporting,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C170,Credit Reporting,1,Agent,Our records indicate that Reporting incorrect credit information.,Helpful,Statement,FCRA,Reporting incorrect credit information,Yes,High
C170,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C171,Credit Reporting,1,Agent,Please note that Investigating dispute within 30 days.,Threatening,Statement,FCRA,Investigating dispute within 30 days,No,Low
C171,Credit Reporting,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C172,Credit Reporting,1,Agent,Please note that Correcting inaccurate credit report.,Neutral,Statement,FCRA,Correcting inaccurate credit report,No,Low
C172,Credit Reporting,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C173,Credit Reporting,1,Agent,I need to inform you that Investigating dispute within 30 days.,Serious,Statement,FCRA,Investigating dispute within 30 days,No,Low
C173,Credit Reporting,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C174,Credit Reporting,1,Agent,I want to explain that Investigating dispute within 30 days.,Threatening,Statement,FCRA,Investigating dispute within 30 days,No,Low
C174,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C175,Credit Reporting,1,Agent,I want to explain that Investigating dispute within 30 days.,Helpful,Statement,FCRA,Investigating dispute within 30 days,No,Low
C175,Credit Reporting,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C176,Credit Reporting,1,Agent,"For your information, Reporting incorrect credit information.",Neutral,Statement,FCRA,Reporting incorrect credit information,Yes,High
C176,Credit Reporting,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C177,Credit Reporting,1,Agent,I need to inform you that Investigating dispute within 30 days.,Threatening,Statement,FCRA,Investigating dispute within 30 days,No,Low
C177,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C178,Credit Reporting,1,Agent,Our records indicate that Failure to investigate credit dispute.,Helpful,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C178,Credit Reporting,2,Customer,Thank you for clarifying.,Concerned,Response,None,None,No,Low
C179,Credit Reporting,1,Agent,I want to explain that Failure to investigate credit dispute.,Helpful,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C179,Credit Reporting,2,Customer,That doesn't seem right.,Concerned,Response,None,None,No,Low
C180,Credit Reporting,1,Agent,I need to inform you that Correcting inaccurate credit report.,Helpful,Statement,FCRA,Correcting inaccurate credit report,No,Low
C180,Credit Reporting,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C181,Credit Reporting,1,Agent,Our records indicate that Reporting incorrect credit information.,Threatening,Statement,FCRA,Reporting incorrect credit information,Yes,High
C181,Credit Reporting,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C182,Credit Reporting,1,Agent,"For your information, Reporting incorrect credit information.",Serious,Statement,FCRA,Reporting incorrect credit information,Yes,High
C182,Credit Reporting,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C183,Credit Reporting,1,Agent,I need to inform you that Correcting inaccurate credit report.,Helpful,Statement,FCRA,Correcting inaccurate credit report,No,Low
C183,Credit Reporting,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C184,Credit Reporting,1,Agent,I need to inform you that Reporting incorrect credit information.,Threatening,Statement,FCRA,Reporting incorrect credit information,Yes,High
C184,Credit Reporting,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C185,Credit Reporting,1,Agent,I need to inform you that Failure to investigate credit dispute.,Threatening,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C185,Credit Reporting,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C186,Credit Reporting,1,Agent,I want to explain that Investigating dispute within 30 days.,Serious,Statement,FCRA,Investigating dispute within 30 days,No,Low
C186,Credit Reporting,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C187,Credit Reporting,1,Agent,I want to explain that Correcting inaccurate credit report.,Threatening,Statement,FCRA,Correcting inaccurate credit report,No,Low
C187,Credit Reporting,2,Customer,I would like documentation for that.,Confused,Response,None,None,No,Low
C188,Credit Reporting,1,Agent,Our records indicate that Correcting inaccurate credit report.,Serious,Statement,FCRA,Correcting inaccurate credit report,No,Low
C188,Credit Reporting,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C189,Credit Reporting,1,Agent,Please note that Correcting inaccurate credit report.,Neutral,Statement,FCRA,Correcting inaccurate credit report,No,Low
C189,Credit Reporting,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C190,Credit Reporting,1,Agent,"For your information, Reporting incorrect credit information.",Threatening,Statement,FCRA,Reporting incorrect credit information,Yes,High
C190,Credit Reporting,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C191,Credit Reporting,1,Agent,Our records indicate that Reporting incorrect credit information.,Neutral,Statement,FCRA,Reporting incorrect credit information,Yes,High
C191,Credit Reporting,2,Customer,Thank you for clarifying.,Neutral,Response,None,None,No,Low
C192,Credit Reporting,1,Agent,I need to inform you that Investigating dispute within 30 days.,Neutral,Statement,FCRA,Investigating dispute within 30 days,No,Low
C192,Credit Reporting,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C193,Credit Reporting,1,Agent,I need to inform you that Correcting inaccurate credit report.,Serious,Statement,FCRA,Correcting inaccurate credit report,No,Low
C193,Credit Reporting,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C194,Credit Reporting,1,Agent,I need to inform you that Failure to investigate credit dispute.,Neutral,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C194,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C195,Credit Reporting,1,Agent,I want to explain that Failure to investigate credit dispute.,Threatening,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C195,Credit Reporting,2,Customer,Thank you for clarifying.,Concerned,Response,None,None,No,Low
C196,Credit Reporting,1,Agent,"For your information, Correcting inaccurate credit report.",Neutral,Statement,FCRA,Correcting inaccurate credit report,No,Low
C196,Credit Reporting,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C197,Credit Reporting,1,Agent,I want to explain that Correcting inaccurate credit report.,Helpful,Statement,FCRA,Correcting inaccurate credit report,No,Low
C197,Credit Reporting,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C198,Credit Reporting,1,Agent,Please note that Failure to investigate credit dispute.,Neutral,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C198,Credit Reporting,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C199,Credit Reporting,1,Agent,Please note that Investigating dispute within 30 days.,Serious,Statement,FCRA,Investigating dispute within 30 days,No,Low
C199,Credit Reporting,2,Customer,Thank you for clarifying.,Neutral,Response,None,None,No,Low
C200,Credit Reporting,1,Agent,"For your information, Reporting incorrect credit information.",Neutral,Statement,FCRA,Reporting incorrect credit information,Yes,High
C200,Credit Reporting,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C201,Credit Reporting,1,Agent,I want to explain that Failure to investigate credit dispute.,Helpful,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C201,Credit Reporting,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C202,Credit Reporting,1,Agent,Please note that Investigating dispute within 30 days.,Serious,Statement,FCRA,Investigating dispute within 30 days,No,Low
C202,Credit Reporting,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C203,Credit Reporting,1,Agent,Please note that Correcting inaccurate credit report.,Neutral,Statement,FCRA,Correcting inaccurate credit report,No,Low
C203,Credit Reporting,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C204,Credit Reporting,1,Agent,I want to explain that Correcting inaccurate credit report.,Helpful,Statement,FCRA,Correcting inaccurate credit report,No,Low
C204,Credit Reporting,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C205,Credit Reporting,1,Agent,Please note that Correcting inaccurate credit report.,Helpful,Statement,FCRA,Correcting inaccurate credit report,No,Low
C205,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C206,Credit Reporting,1,Agent,Our records indicate that Investigating dispute within 30 days.,Helpful,Statement,FCRA,Investigating dispute within 30 days,No,Low
C206,Credit Reporting,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C207,Credit Reporting,1,Agent,"For your information, Correcting inaccurate credit report.",Serious,Statement,FCRA,Correcting inaccurate credit report,No,Low
C207,Credit Reporting,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C208,Credit Reporting,1,Agent,Our records indicate that Investigating dispute within 30 days.,Threatening,Statement,FCRA,Investigating dispute within 30 days,No,Low
C208,Credit Reporting,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C209,Credit Reporting,1,Agent,I need to inform you that Reporting incorrect credit information.,Neutral,Statement,FCRA,Reporting incorrect credit information,Yes,High
C209,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C210,Credit Reporting,1,Agent,"For your information, Investigating dispute within 30 days.",Threatening,Statement,FCRA,Investigating dispute within 30 days,No,Low
C210,Credit Reporting,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C211,Credit Reporting,1,Agent,"For your information, Investigating dispute within 30 days.",Threatening,Statement,FCRA,Investigating dispute within 30 days,No,Low
C211,Credit Reporting,2,Customer,I would like documentation for that.,Confused,Response,None,None,No,Low
C212,Credit Reporting,1,Agent,"For your information, Reporting incorrect credit information.",Threatening,Statement,FCRA,Reporting incorrect credit information,Yes,High
C212,Credit Reporting,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C213,Credit Reporting,1,Agent,I need to inform you that Reporting incorrect credit information.,Serious,Statement,FCRA,Reporting incorrect credit information,Yes,High
C213,Credit Reporting,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C214,Credit Reporting,1,Agent,I need to inform you that Correcting inaccurate credit report.,Helpful,Statement,FCRA,Correcting inaccurate credit report,No,Low
C214,Credit Reporting,2,Customer,That doesn't seem right.,Concerned,Response,None,None,No,Low
C215,Credit Reporting,1,Agent,I want to explain that Reporting incorrect credit information.,Helpful,Statement,FCRA,Reporting incorrect credit information,Yes,High
C215,Credit Reporting,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C216,Credit Reporting,1,Agent,"For your information, Investigating dispute within 30 days.",Serious,Statement,FCRA,Investigating dispute within 30 days,No,Low
C216,Credit Reporting,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C217,Credit Reporting,1,Agent,I want to explain that Investigating dispute within 30 days.,Threatening,Statement,FCRA,Investigating dispute within 30 days,No,Low
C217,Credit Reporting,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C218,Credit Reporting,1,Agent,I want to explain that Correcting inaccurate credit report.,Neutral,Statement,FCRA,Correcting inaccurate credit report,No,Low
C218,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C219,Credit Reporting,1,Agent,I need to inform you that Correcting inaccurate credit report.,Threatening,Statement,FCRA,Correcting inaccurate credit report,No,Low
C219,Credit Reporting,2,Customer,Thank you for clarifying.,Neutral,Response,None,None,No,Low
C220,Credit Reporting,1,Agent,Our records indicate that Correcting inaccurate credit report.,Helpful,Statement,FCRA,Correcting inaccurate credit report,No,Low
C220,Credit Reporting,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C221,Credit Reporting,1,Agent,Our records indicate that Investigating dispute within 30 days.,Serious,Statement,FCRA,Investigating dispute within 30 days,No,Low
C221,Credit Reporting,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C222,Credit Reporting,1,Agent,Our records indicate that Correcting inaccurate credit report.,Serious,Statement,FCRA,Correcting inaccurate credit report,No,Low
C222,Credit Reporting,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C223,Credit Reporting,1,Agent,Please note that Reporting incorrect credit information.,Neutral,Statement,FCRA,Reporting incorrect credit information,Yes,High
C223,Credit Reporting,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C224,Credit Reporting,1,Agent,I want to explain that Investigating dispute within 30 days.,Threatening,Statement,FCRA,Investigating dispute within 30 days,No,Low
C224,Credit Reporting,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C225,Credit Reporting,1,Agent,I want to explain that Failure to investigate credit dispute.,Threatening,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C225,Credit Reporting,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C226,Credit Reporting,1,Agent,Please note that Failure to investigate credit dispute.,Serious,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C226,Credit Reporting,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C227,Credit Reporting,1,Agent,I want to explain that Failure to investigate credit dispute.,Threatening,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C227,Credit Reporting,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C228,Credit Reporting,1,Agent,I want to explain that Reporting incorrect credit information.,Serious,Statement,FCRA,Reporting incorrect credit information,Yes,High
C228,Credit Reporting,2,Customer,Thank you for clarifying.,Neutral,Response,None,None,No,Low
C229,Credit Reporting,1,Agent,Our records indicate that Investigating dispute within 30 days.,Neutral,Statement,FCRA,Investigating dispute within 30 days,No,Low
C229,Credit Reporting,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C230,Credit Reporting,1,Agent,Our records indicate that Reporting incorrect credit information.,Neutral,Statement,FCRA,Reporting incorrect credit information,Yes,High
C230,Credit Reporting,2,Customer,Can you explain more?,Neutral,Response,None,None,No,Low
C231,Credit Reporting,1,Agent,I need to inform you that Failure to investigate credit dispute.,Threatening,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C231,Credit Reporting,2,Customer,Thank you for clarifying.,Concerned,Response,None,None,No,Low
C232,Credit Reporting,1,Agent,I need to inform you that Reporting incorrect credit information.,Helpful,Statement,FCRA,Reporting incorrect credit information,Yes,High
C232,Credit Reporting,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C233,Credit Reporting,1,Agent,Please note that Investigating dispute within 30 days.,Serious,Statement,FCRA,Investigating dispute within 30 days,No,Low
C233,Credit Reporting,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C234,Credit Reporting,1,Agent,I want to explain that Investigating dispute within 30 days.,Serious,Statement,FCRA,Investigating dispute within 30 days,No,Low
C234,Credit Reporting,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C235,Credit Reporting,1,Agent,I need to inform you that Investigating dispute within 30 days.,Helpful,Statement,FCRA,Investigating dispute within 30 days,No,Low
C235,Credit Reporting,2,Customer,Can you explain more?,Confused,Response,None,None,No,Low
C236,Credit Reporting,1,Agent,I need to inform you that Investigating dispute within 30 days.,Serious,Statement,FCRA,Investigating dispute within 30 days,No,Low
C236,Credit Reporting,2,Customer,That doesn't seem right.,Concerned,Response,None,None,No,Low
C237,Credit Reporting,1,Agent,I need to inform you that Correcting inaccurate credit report.,Neutral,Statement,FCRA,Correcting inaccurate credit report,No,Low
C237,Credit Reporting,2,Customer,That doesn't seem right.,Neutral,Response,None,None,No,Low
C238,Credit Reporting,1,Agent,Our records indicate that Failure to investigate credit dispute.,Neutral,Statement,FCRA,Failure to investigate credit dispute,Yes,High
C238,Credit Reporting,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C239,Credit Reporting,1,Agent,I want to explain that Correcting inaccurate credit report.,Serious,Statement,FCRA,Correcting inaccurate credit report,No,Low
C239,Credit Reporting,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C240,Credit Reporting,1,Agent,"For your information, Investigating dispute within 30 days.",Serious,Statement,FCRA,Investigating dispute within 30 days,No,Low
C240,Credit Reporting,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C241,Landlord Tenant,1,Agent,Please note that Providing maintenance and repairs.,Neutral,Statement,Housing Law,Providing maintenance and repairs,No,Low
C241,Landlord Tenant,2,Customer,I would like documentation for that.,Concerned,Response,None,None,No,Low
C242,Landlord Tenant,1,Agent,I need to inform you that Failure to maintain habitable conditions.,Helpful,Statement,Housing Law,Failure to maintain habitable conditions,Yes,High
C242,Landlord Tenant,2,Customer,I would like documentation for that.,Confused,Response,None,None,No,Low
C243,Landlord Tenant,1,Agent,"For your information, Retaliatory eviction threat.",Neutral,Statement,Housing Law,Retaliatory eviction threat,Yes,High
C243,Landlord Tenant,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C244,Landlord Tenant,1,Agent,"For your information, Proper notice before eviction.",Threatening,Statement,Housing Law,Proper notice before eviction,No,Low
C244,Landlord Tenant,2,Customer,Thank you for clarifying.,Concerned,Response,None,None,No,Low
C245,Landlord Tenant,1,Agent,I need to inform you that Proper notice before eviction.,Threatening,Statement,Housing Law,Proper notice before eviction,No,Low
C245,Landlord Tenant,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C246,Landlord Tenant,1,Agent,"For your information, Proper notice before eviction.",Threatening,Statement,Housing Law,Proper notice before eviction,No,Low
C246,Landlord Tenant,2,Customer,I wasn't aware of that.,Confused,Response,None,None,No,Low
C247,Landlord Tenant,1,Agent,I want to explain that Failure to maintain habitable conditions.,Helpful,Statement,Housing Law,Failure to maintain habitable conditions,Yes,High
C247,Landlord Tenant,2,Customer,I would like documentation for that.,Confused,Response,None,None,No,Low
